class_match,completed,cost_usd,failed_tool_calls,file_match,function_match,gold_classes,gold_files,gold_functions,gold_line_ranges,input_tokens,instance_id,line_iou,line_match,locator_llm_calls,output_tokens,paper_file_jaccard,paper_function_jaccard,predicted_classes,predicted_files,predicted_functions,predicted_line_ranges,predicted_locations,reflection_turns,repo,request_ids,requested_model,returned_models,run_id,stop_reasons,summarizer_llm_calls,termination_reason,token_usage_incomplete,tool_calls,tool_original_chars,tool_result_chars,tool_returned_chars,total_llm_calls,total_tokens,trajectory_path,truncated_tool_calls,wall_clock_ms
True,True,,0,True,True,['astropy.wcs.wcs.WCS'],['astropy/wcs/wcs.py'],"['astropy.wcs.wcs.WCS._array_converter', 'astropy.wcs.wcs.WCS._return_list_of_arrays', 'astropy.wcs.wcs.WCS._return_single_array']","[(1212, 1220), (1238, 1245)]",58044,astropy__astropy-7746,0.3939393939393939,False,5,1403,1.0,1.0,['astropy.wcs.wcs.WCS'],['astropy/wcs/wcs.py'],"['astropy.wcs.wcs.WCS._array_converter', 'astropy.wcs.wcs.WCS._return_list_of_arrays', 'astropy.wcs.wcs.WCS._return_single_array']","[(1214, 1231), (1233, 1243)]","[{'end_line': 1231, 'file_path': 'astropy/wcs/wcs.py', 'start_line': 1214}, {'end_line': 1243, 'file_path': 'astropy/wcs/wcs.py', 'start_line': 1233}]",1,astropy/astropy,"['4191cbc9-db9d-4ee6-a9d2-41c0e4b7263d', '8b6b59db-63a5-43b7-bbd5-353e8e3ce455', '9b3c2c2b-88b0-4e9f-88e6-910d7b6fe24b', '7af5fc35-57f5-4901-8f92-a73588734b4a', 'ffc62e97-d384-4161-ae93-e81e024406ee']",ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-astropy__astropy-7746-0-12afcdbe20,{'stop': 5},0,completed,False,3,437834,34497,34497,5,59447,experiments/name_to_definition/runs/claude35_full14_baseline/astropy__astropy-7746/0/trajectory.jsonl,1,70586.528
True,False,,0,False,True,[],['django/conf/global_settings.py'],[],"[(304, 310)]",42914,django__django-10914,0.0,False,7,783,0.0,1.0,[],[],[],[],[],0,django/django,"['86b02efb-ba12-4b62-9a65-cd851123839e', '76f8a863-855b-4dda-8151-a42e56833e5c', 'f747e3b0-2652-4655-8433-ab5d46647324', '35d78ed0-bd3e-431d-ad59-e661e932a7fd', '5493bcbd-51f4-45f3-ac60-21093c0cbdaa', 'efd43601-a3b0-4c53-8fa7-c1399733d980', 'a77dcfe1-50a6-4f47-85ef-79cd6fb26ee4']",ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-django__django-10914-1-8cc289fb86,{'stop': 7},0,api_error,False,7,54533,36025,36025,7,43697,experiments/name_to_definition/runs/claude35_full14_baseline/django__django-10914/1/trajectory.jsonl,1,111131.503
True,True,,0,True,False,['django.db.models.sql.compiler.SQLCompiler'],['django/db/models/sql/compiler.py'],"['django.db.models.sql.compiler.SQLCompiler.__init__', 'django.db.models.sql.compiler.SQLCompiler.setup_query']","[(32, 39)]",90591,django__django-11001,0.1,True,6,2844,1.0,0.25,['django.db.models.sql.compiler.SQLCompiler'],['django/db/models/sql/compiler.py'],"['django.db.models.sql.compiler.SQLCompiler.__init__', 'django.db.models.sql.compiler.SQLCompiler.get_extra_select', 'django.db.models.sql.compiler.SQLCompiler.get_order_by']","[(35, 35), (356, 356), (369, 369)]","[{'end_line': 35, 'file_path': 'django/db/models/sql/compiler.py', 'start_line': 35}, {'end_line': 356, 'file_path': 'django/db/models/sql/compiler.py', 'start_line': 356}, {'end_line': 369, 'file_path': 'django/db/models/sql/compiler.py', 'start_line': 369}]",1,django/django,"['dd76f80c-6594-4cbf-acfd-df6e097faa83', '838949fb-1a41-4129-a9c1-d4318eef109e', '1117fa7f-1fee-4e28-9bcc-a0f1db5a2eff', '78289d49-7c8a-4e98-80a7-6802a49d68ca', 'f79768b3-5e6d-4deb-bade-926913a2be91', '39b0042b-8af8-4541-8f21-ea33b653bc94', '1849d04c-40c3-449b-bd1b-8ad9151cd766']",ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-django__django-11001-0-761fe745bb,{'stop': 7},1,completed,False,12,289517,47034,47034,7,93435,experiments/name_to_definition/runs/claude35_full14_baseline/django__django-11001/0/trajectory.jsonl,1,115518.86
True,True,,0,True,True,[],['django/core/checks/model_checks.py'],['django.core.checks.model_checks.check_all_models'],"[(4, 11), (36, 60)]",139328,django__django-11630,0.35294117647058826,False,19,5102,1.0,1.0,[],['django/core/checks/model_checks.py'],['django.core.checks.model_checks.check_all_models'],"[(22, 22), (38, 47), (6, 7)]","[{'end_line': 22, 'file_path': 'django/core/checks/model_checks.py', 'start_line': 22}, {'end_line': 47, 'file_path': 'django/core/checks/model_checks.py', 'start_line': 38}, {'end_line': 7, 'file_path': 'django/core/checks/model_checks.py', 'start_line': 6}]",1,django/django,"['29483f66-587d-4bf1-9bf4-ce5ecf845002', 'c4e9daed-5584-4fba-b4fc-2b675931b84f', '20479e6d-8dc7-46cf-8e48-1c2d39795447', 'a57e3497-b306-47b6-a195-f48de48aaa05', '0bc2146e-edc3-475a-a06d-3deea442c762', 'b39de689-0f45-4f4e-87a0-8b16ccfc6448', '14297959-bf7f-4a1e-9586-6ea6d6f8856a', 'dc3223ef-a166-4945-be47-78fa1b0cc3e1', 'd346b325-9509-4b66-ac74-12d8b722e315', '78bed6fa-a695-4351-bb19-af01832e7225', 'afe4c6b5-fbbb-4207-b6d2-53ed6ae16f8d', '8940cef8-d572-4bf0-985e-483476eedeaf', 'e94f702a-51ab-45ff-9171-7e2b31aa1f82', '16f7a2b2-fb24-438f-9035-22baaaa33f40', '1542ea28-437d-4c78-909c-5a2c8a2b1488', 'a44058c1-d625-4f88-900d-ff42776cc992', 'a8a93ebd-ef33-4203-93a8-e90c8f3097ca', '4d6160f3-b075-4a14-85cd-b27bafa25920', '2a3c40d0-8837-4b6a-a0b4-0975648937f4', '0d297974-f7be-4cd0-a37b-beea943ccf1d', '2b0d4882-d03c-49a2-b303-4d52814a5e8b']",ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-django__django-11630-0-d693d1aedb,{'stop': 21},2,completed,False,17,33966,33966,33966,21,144430,experiments/name_to_definition/runs/claude35_full14_baseline/django__django-11630/0/trajectory.jsonl,0,209038.433
True,True,,0,True,False,['django.urls.resolvers.RegexPattern'],['django/urls/resolvers.py'],"['django.urls.resolvers.RegexPattern.check', 'django.urls.resolvers.RegexPattern.match']","[(158, 166)]",44163,django__django-12184,0.2222222222222222,True,7,1970,1.0,0.5,['django.urls.resolvers.RegexPattern'],['django/urls/resolvers.py'],['django.urls.resolvers.RegexPattern.match'],"[(161, 162)]","[{'end_line': 162, 'file_path': 'django/urls/resolvers.py', 'start_line': 161}]",1,django/django,"['cfc99a90-d1c9-4720-b9cb-e6cb77a08cf6', '8a07bee7-3141-4188-b7f5-88f3614124e6', '780389a8-9c36-4aad-b93b-bb5271ceb747', '12e08ab0-c816-4e1d-a909-b73bb473bf7e', '31d18682-20b9-4e35-afd9-95c06af180a9', 'f1e92ca6-5315-4764-b4ad-d7c6d274d157', '11d55c0c-95d8-453b-855a-9af1e148bde3']",ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-django__django-12184-0-034a9f356f,{'stop': 7},0,completed,False,5,19576,19576,19576,7,46133,experiments/name_to_definition/runs/claude35_full14_baseline/django__django-12184/0/trajectory.jsonl,0,110887.803
True,True,,1,True,True,[],['django/core/checks/translation.py'],['django.core.checks.translation.check_language_settings_consistent'],"[(1, 5), (56, 64)]",43952,django__django-12286,0.4,False,5,4124,1.0,1.0,[],['django/core/checks/translation.py'],['django.core.checks.translation.check_language_settings_consistent'],"[(55, 61)]","[{'end_line': 61, 'file_path': 'django/core/checks/translation.py', 'start_line': 55}]",1,django/django,"['486abd6a-1d61-42ba-ab4e-36a7c5b1fce7', 'f4b4cac9-f4e0-455d-bd19-2348c4c482a7', 'de610c4c-ce66-45da-8c2c-ace248e49c0f', '263acb0c-cefd-4ffc-a308-5bfb5bcaca0b', '55844c37-4dcf-4c1c-93a6-ecdf42e17ff7', 'ce89ea62-eee0-450c-af8e-b9ff1931a13a']",ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-django__django-12286-0-6b2d580e14,{'stop': 6},1,completed,False,35,26057,26057,26057,6,48076,experiments/name_to_definition/runs/claude35_full14_baseline/django__django-12286/0/trajectory.jsonl,0,132556.142
True,True,,0,True,False,[],['django/forms/models.py'],"['django.forms.models.apply_limit_choices_to_to_formfield', 'django.forms.models.fields_for_model']","[(97, 114)]",183464,django__django-13315,0.3333333333333333,False,10,2206,1.0,0.5,[],['django/forms/models.py'],['django.forms.models.apply_limit_choices_to_to_formfield'],"[(98, 103)]","[{'end_line': 103, 'file_path': 'django/forms/models.py', 'start_line': 98}]",1,django/django,"['7c454a03-d7be-4211-b740-724bba699c7e', '736c4516-f6eb-4726-ad2d-f0b74aaed91b', '93b90ccf-4a72-4866-81c8-7e6c79940f6e', '3983bfc5-b58b-4cb1-9a70-0c3da89776bc', 'f24f2896-9699-40e5-a36d-600f29f16116', '8ca2fd8b-b285-4946-8479-73109eca69a3', '7cd3da02-b016-4610-af25-4d9784585f49', '9fc42718-ca41-4018-a477-89e57ae08b60', '194d9822-d96c-4c2f-8b99-2a3c3f796452', '240e9c8b-4436-440b-817b-2e91bd2f3fb8', '9e8d6a28-e369-4b0d-9f19-50a34e6fc435']",ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-django__django-13315-0-0cc7cc4e7b,{'stop': 11},1,completed,False,8,160397,77306,77306,11,185670,experiments/name_to_definition/runs/claude35_full14_baseline/django__django-13315/0/trajectory.jsonl,2,138024.034
True,True,,0,True,False,['django.contrib.sessions.backends.base.SessionBase'],['django/contrib/sessions/backends/base.py'],"['django.contrib.sessions.backends.base.SessionBase._legacy_decode', 'django.contrib.sessions.backends.base.SessionBase._legacy_encode', 'django.contrib.sessions.backends.base.SessionBase.decode']","[(121, 135)]",50331,django__django-13321,0.1,False,4,1005,1.0,0.3333333333333333,['django.contrib.sessions.backends.base.SessionBase'],['django/contrib/sessions/backends/base.py'],['django.contrib.sessions.backends.base.SessionBase._legacy_decode'],"[(133, 150)]","[{'end_line': 150, 'file_path': 'django/contrib/sessions/backends/base.py', 'start_line': 133}]",1,django/django,"['2ba3eb77-93f2-4a22-ac08-a6f035e71ea5', '6167aeb9-9932-4a9c-b0b0-cbbdea59813c', '1e505e3a-53ab-482f-a7b3-71e1d81c7746', 'cdd13cad-997c-47c6-8000-a8609aeeb9d6']",ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-django__django-13321-0-e3f8194649,{'stop': 4},0,completed,False,2,93406,33873,33873,4,51336,experiments/name_to_definition/runs/claude35_full14_baseline/django__django-13321/0/trajectory.jsonl,1,84636.37
True,True,,0,True,True,['django.db.backends.base.creation.BaseDatabaseCreation'],['django/db/backends/base/creation.py'],['django.db.backends.base.creation.BaseDatabaseCreation.create_test_db'],"[(58, 71), (76, 84)]",69097,django__django-13448,0.08333333333333333,False,5,1427,0.5,0.5,['django.db.backends.base.creation.BaseDatabaseCreation'],"['django/db/backends/base/creation.py', 'django/test/utils.py']","['django.db.backends.base.creation.BaseDatabaseCreation.create_test_db', 'django.test.utils.setup_databases']","[(77, 78), (183, 183)]","[{'end_line': 78, 'file_path': 'django/db/backends/base/creation.py', 'start_line': 77}, {'end_line': 183, 'file_path': 'django/test/utils.py', 'start_line': 183}]",1,django/django,"['1398e637-6cb3-48c6-8abb-23d1a90624fc', 'a1af5db5-149b-43f2-a071-fa361ab3d5fa', 'dd391c79-de94-41d7-bd71-8961bbcbce92', '63690fc7-b42a-4d03-85fb-916fb8d46794', '2280c587-d361-4326-8811-f4d9558eea28']",ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-django__django-13448-0-41c759294c,{'stop': 5},0,completed,False,3,73001,34699,34699,5,70524,experiments/name_to_definition/runs/claude35_full14_baseline/django__django-13448/0/trajectory.jsonl,1,95944.273
True,True,,0,True,False,['django.db.models.sql.query.Query'],['django/db/models/sql/query.py'],"['django.db.models.sql.query.Query.resolve_lookup_value', 'django.db.models.sql.query.Query.solve_lookup_type']","[(1077, 1090)]",17776,django__django-13590,0.2857142857142857,False,4,841,1.0,0.5,['django.db.models.sql.query.Query'],['django/db/models/sql/query.py'],['django.db.models.sql.query.Query.resolve_lookup_value'],"[(1080, 1083)]","[{'end_line': 1083, 'file_path': 'django/db/models/sql/query.py', 'start_line': 1080}]",1,django/django,"['52fb3a2c-5726-4fd0-9b55-980296708884', '858c3727-0a44-4ce4-84cb-30823a965427', '8cc837db-a82d-4452-ab96-6bc9a8a359e2', 'bb119918-83fb-45c7-b384-00a3bf7d3da9']",ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-django__django-13590-0-74f13fdfb6,{'stop': 4},0,completed,False,2,5816,5816,5816,4,18617,experiments/name_to_definition/runs/claude35_full14_baseline/django__django-13590/0/trajectory.jsonl,0,78829.071
