class_match,completed,cost_usd,failed_tool_calls,file_match,function_match,gold_classes,gold_files,gold_functions,gold_line_ranges,input_tokens,instance_id,line_iou,line_match,locator_llm_calls,output_tokens,paper_file_jaccard,paper_function_jaccard,predicted_classes,predicted_files,predicted_functions,predicted_line_ranges,predicted_locations,reflection_turns,repo,request_ids,requested_model,returned_models,run_id,stop_reasons,summarizer_llm_calls,termination_reason,token_usage_incomplete,tool_calls,tool_result_chars,total_llm_calls,total_tokens,trajectory_path,wall_clock_ms
True,True,,0,True,True,['astropy.wcs.wcs.WCS'],['astropy/wcs/wcs.py'],"['astropy.wcs.wcs.WCS._array_converter', 'astropy.wcs.wcs.WCS._return_list_of_arrays', 'astropy.wcs.wcs.WCS._return_single_array']","[(1212, 1220), (1238, 1245)]",45644,astropy__astropy-7746,0.13043478260869565,False,11,2777,1.0,1.0,['astropy.wcs.wcs.WCS'],['astropy/wcs/wcs.py'],"['astropy.wcs.wcs.WCS._array_converter', 'astropy.wcs.wcs.WCS._return_list_of_arrays', 'astropy.wcs.wcs.WCS._return_single_array']","[(1221, 1225), (1237, 1240)]","[{'end_line': 1225, 'file_path': 'astropy/wcs/wcs.py', 'start_line': 1221}, {'end_line': 1240, 'file_path': 'astropy/wcs/wcs.py', 'start_line': 1237}]",1,astropy/astropy,"['msg_c76fa23925a64962b9ce0051fb37d6f2', 'msg_6b6ca3b1937a444c92c9bc6e522b2131', 'msg_84446b9497ed44cb9c94638985951cae', 'msg_1043442ba0264fbab8b10fe731ad1fd2', 'msg_6fc6f9c892a74382ac883fb1a382b083', 'msg_c7393f0c50b14c4dafbcd34c0dffcb0e', 'msg_551605e3d77447218e7e246ece69a505', 'msg_ba25b1cd300740d79a52d32ee005a7d4', 'msg_c9c327d5271440efba5ea40cc2e4d856', 'msg_615f6a4ebab74f7d83ceed4f278b06e7', 'msg_8310f7187d4f4a648c4797bc11dbe485', 'msg_df599ec9906f4e2baeeea25287a49765']",claude-sonnet-5,['claude-sonnet-5'],sgagent-official-astropy__astropy-7746-0-a44213469c,{'end_turn': 12},1,completed,False,9,13081,12,48421,experiments/name_to_definition/runs/official_locator_full14_reproduction/astropy__astropy-7746/0/trajectory.jsonl,117905.961
True,True,,0,True,True,[],['django/conf/global_settings.py'],[],"[(304, 310)]",60683,django__django-10914,0.14285714285714285,True,11,4348,1.0,1.0,[],['django/conf/global_settings.py'],[],"[(307, 307)]","[{'end_line': 307, 'file_path': 'django/conf/global_settings.py', 'start_line': 307}]",1,django/django,"['msg_3fca9fcb4ce245b1aebe9acf99b59457', 'msg_9d77b34e506c4a2a8753d339eb14bc0d', 'msg_73e3b203081847468d5d5a8dfd4d68c4', 'msg_dbc1088809b140c4a714f05d3fb1cc29', 'msg_0b9b4d8a71674677a88caf3163a2f2c2', 'msg_143bb6f3683e4661b981cf821fdf251a', 'msg_2ad187e9b49f415ca36b48d679b8bc2b', 'msg_d8b56b1f0371421eaecedb4c8249d859', 'msg_51d57ae0bcb644babcbfaf3dc13439cd', 'msg_efcba8205ffa4c79b4c157dc51a54a67', 'msg_1f83ddde76d548fe881c53cc5dac620c', 'msg_2cae8720e9f54692981251bd46882acf']",claude-sonnet-5,['claude-sonnet-5'],sgagent-official-django__django-10914-0-230689f183,{'end_turn': 12},1,completed,False,9,53953,12,65031,experiments/name_to_definition/runs/official_locator_full14_reproduction/django__django-10914/0/trajectory.jsonl,156260.822
True,True,,0,True,False,['django.db.models.sql.compiler.SQLCompiler'],['django/db/models/sql/compiler.py'],"['django.db.models.sql.compiler.SQLCompiler.__init__', 'django.db.models.sql.compiler.SQLCompiler.setup_query']","[(32, 39)]",60342,django__django-11001,0.0,False,7,1360,1.0,0.0,['django.db.models.sql.compiler.SQLCompiler'],['django/db/models/sql/compiler.py'],"['django.db.models.sql.compiler.SQLCompiler.get_extra_select', 'django.db.models.sql.compiler.SQLCompiler.get_order_by']","[(356, 356), (369, 369)]","[{'end_line': 356, 'file_path': 'django/db/models/sql/compiler.py', 'start_line': 356}, {'end_line': 369, 'file_path': 'django/db/models/sql/compiler.py', 'start_line': 369}]",2,django/django,"['msg_5644c0e45cc543969a8c680132cc008e', 'msg_c783e38159eb4690b8d6f1a088fc2688', 'msg_66b8dbe50d6344aa8f65a62fcb2ca231', 'msg_9bc6fc17c0694a188f2419e05d48449c', 'msg_e6c6136ef76c4724af8462e2f7e32a28', 'msg_fc4b933fc2084ad5ae84fda729747be2', 'msg_b5ff4391bfed4668adfb52a7cdf76db4']",claude-sonnet-5,['claude-sonnet-5'],sgagent-official-django__django-11001-0-d960b0355b,{'end_turn': 7},0,completed,False,4,280224,7,61702,experiments/name_to_definition/runs/official_locator_full14_reproduction/django__django-11001/0/trajectory.jsonl,105787.928
True,True,,0,True,True,[],['django/core/checks/model_checks.py'],['django.core.checks.model_checks.check_all_models'],"[(4, 11), (36, 60)]",60148,django__django-11630,0.22727272727272727,False,14,6682,1.0,1.0,[],['django/core/checks/model_checks.py'],['django.core.checks.model_checks.check_all_models'],"[(12, 22), (38, 47)]","[{'end_line': 22, 'file_path': 'django/core/checks/model_checks.py', 'start_line': 12}, {'end_line': 47, 'file_path': 'django/core/checks/model_checks.py', 'start_line': 38}]",1,django/django,"['msg_1d975435816d4a79b2e30037fca88c30', 'msg_d97cc985e94a48d0b717095314ee277d', 'msg_8dc9702f7dd1406ab5faad48284c4df1', 'msg_dc7a0f16bd944e1cbe48234bfcef05e9', 'msg_b967116b3c644e338c6bbcf97a2e44c0', 'msg_f3cfa72d7be64b9fa3523da76bf91fed', 'msg_3480465411de452bb0107b0ecbf26d98', 'msg_954a2a57470e46e5985032f48d5c8c34', 'msg_5bf07b93c6a643d1a19e6ed268811e0b', 'msg_ddda57cda39f473aa84810719348a8ab', 'msg_982dd072e7b9458c9e2b65f71ee22082', 'msg_38bc1d29de3541769a2cdcf501adfcee', 'msg_dd326772917641f68849d4ca70d209b3', 'msg_3baaf729543c4a2fa98dbb5c80c962b7', 'msg_16f0eced124744c0b17b22c84e1b9ec2']",claude-sonnet-5,['claude-sonnet-5'],sgagent-official-django__django-11630-0-097c224772,{'end_turn': 15},1,completed,False,12,27172,15,66830,experiments/name_to_definition/runs/official_locator_full14_reproduction/django__django-11630/0/trajectory.jsonl,201467.364
True,True,,0,True,False,['django.urls.resolvers.RegexPattern'],['django/urls/resolvers.py'],"['django.urls.resolvers.RegexPattern.check', 'django.urls.resolvers.RegexPattern.match']","[(158, 166)]",79501,django__django-12184,0.2222222222222222,True,13,9467,1.0,0.5,['django.urls.resolvers.RegexPattern'],['django/urls/resolvers.py'],['django.urls.resolvers.RegexPattern.match'],"[(161, 162)]","[{'end_line': 162, 'file_path': 'django/urls/resolvers.py', 'start_line': 161}]",1,django/django,"['msg_320a1601038e487dbec53fa70d17b5a2', 'msg_2b7c74ae0fdf4456a4a0a3dc7d7eb67b', 'msg_dd9571285f6441ef979c49f131f11762', 'msg_6c7b076f2fec487f802d01587bf71e6b', 'msg_10f6341a09d54c569e528d5049b3ff31', 'msg_38bbf9a4d9f44fd49c7e5970405ae6dd', 'msg_e4c224b196044d11b0029770b6a3cf19', 'msg_737836a4605b431a9438f1cb55cfacac', 'msg_85618466deee41019fa209814dd63bc7', 'msg_9a80c1785bd2417b9f1c411506d53048', 'msg_a9f76181caa246f39814ec10b37f11eb', 'msg_7bfffe3f63e54bd0b676750c5daa2672', 'msg_fcb8f222d9eb486d9fa1554825451ced', 'msg_d9c16b6f60c645498a8d6585d79c561f']",claude-sonnet-5,['claude-sonnet-5'],sgagent-official-django__django-12184-0-69ae43b05f,{'end_turn': 14},1,completed,False,11,63200,14,88968,experiments/name_to_definition/runs/official_locator_full14_reproduction/django__django-12184/0/trajectory.jsonl,275152.233
True,True,,0,True,True,[],['django/core/checks/translation.py'],['django.core.checks.translation.check_language_settings_consistent'],"[(1, 5), (56, 64)]",40642,django__django-12286,0.14285714285714285,False,11,4424,1.0,1.0,[],['django/core/checks/translation.py'],['django.core.checks.translation.check_language_settings_consistent'],"[(59, 60)]","[{'end_line': 60, 'file_path': 'django/core/checks/translation.py', 'start_line': 59}]",1,django/django,"['msg_b42d38c4a4af46499f628e6607d4a673', 'msg_adc21cb9ecf14dcf900dae17b8d7a18e', 'msg_a5a59218f53f4bf787abbb5ab1d537ae', 'msg_c04278b0f2b14338866b851c8810f711', 'msg_37fd2a1e44b940f399a902bbd0b2f59b', 'msg_058b065bcf964a70a4f45e8f61ded9bf', 'msg_99383dd711f6415ba845cf8e616fcd54', 'msg_07209f8abcb54c909c42d9923a3ab6eb', 'msg_3f23a8f18754400f8a3abe92f585a8bf', 'msg_088c8cdbd28f428d9be324132ba0b9d0', 'msg_d3255f6c07564e76a48cecb538e595e8', 'msg_9408bb703e2440db8a938de2a9e04096']",claude-sonnet-5,['claude-sonnet-5'],sgagent-official-django__django-12286-0-0efb832f14,{'end_turn': 12},1,completed,False,9,9468,12,45066,experiments/name_to_definition/runs/official_locator_full14_reproduction/django__django-12286/0/trajectory.jsonl,188008.581
True,True,,0,True,False,[],['django/forms/models.py'],"['django.forms.models.apply_limit_choices_to_to_formfield', 'django.forms.models.fields_for_model']","[(97, 114)]",168086,django__django-13315,0.05555555555555555,False,20,7032,1.0,0.5,[],['django/forms/models.py'],['django.forms.models.apply_limit_choices_to_to_formfield'],"[(103, 103)]","[{'end_line': 103, 'file_path': 'django/forms/models.py', 'start_line': 103}]",1,django/django,"['msg_5123f5d9bffb46cd840b6e8b5de98376', 'msg_211d749973714c99b21a871fffb44f4b', 'msg_26218d90839f4ab1bdf4ed51245bf18f', 'msg_771f4620849c46dda7eef7c80a49dfd7', 'msg_ffeed884b81f4a2dadd04752d5d1ae37', 'msg_89c4b5263d354dbda22b3ed3419c3b50', 'msg_51bc492b6bc74421830246341826af6a', 'msg_445f8709159d453d8a666b7ad2f08cac', 'msg_ed65d19d9efe482bb5956479cb7476ab', 'msg_a7eed92a1a45475e93feadceb5f310f9', 'msg_ea6b196957fb4a13a4a646a62c6ffe69', 'msg_eb1b8629d3644248b09d683bc5781f56', 'msg_57a2001ce17a424698d824eaec76a334', 'msg_400dd8b3ee1b4f89910fb93727069bd5', 'msg_aa5464bbff9a4661a2cc3d6dcf09f2e5', 'msg_21607318a28746e7a26cd699c28c120a', 'msg_53a80f3d9d7643ccb84306a54c792b68', 'msg_c0ef851f18ac48f78e2071efe73f681a', 'msg_f623ceee7f64498f834fad3f4e4b31e4', 'msg_ba542104e5fc4f94b4f3500d444db14e', 'msg_794208836c8b4172ac648324417cd9af', 'msg_44066bf75d794193be3315eac0e0fa5f']",claude-sonnet-5,['claude-sonnet-5'],sgagent-official-django__django-13315-0-0908dc7083,{'end_turn': 22},2,completed,False,18,125539,22,175118,experiments/name_to_definition/runs/official_locator_full14_reproduction/django__django-13315/0/trajectory.jsonl,265870.957
True,True,,0,True,False,['django.contrib.sessions.backends.base.SessionBase'],['django/contrib/sessions/backends/base.py'],"['django.contrib.sessions.backends.base.SessionBase._legacy_decode', 'django.contrib.sessions.backends.base.SessionBase._legacy_encode', 'django.contrib.sessions.backends.base.SessionBase.decode']","[(121, 135)]",54702,django__django-13321,0.1,False,8,1061,1.0,0.3333333333333333,['django.contrib.sessions.backends.base.SessionBase'],['django/contrib/sessions/backends/base.py'],['django.contrib.sessions.backends.base.SessionBase._legacy_decode'],"[(133, 150)]","[{'end_line': 150, 'file_path': 'django/contrib/sessions/backends/base.py', 'start_line': 133}]",1,django/django,"['msg_13819a356ade46e0bcb3ad7fe66fa876', 'msg_a113a6a37f3c4e5dba3a8e05001b823a', 'msg_19eeb7e401a64a6e826b7028e902f00e', 'msg_26466095d1f64f47a77acadba5f49984', 'msg_1fef2a40c30b4fc2809b15f3f4ba0477', 'msg_75db67b8179c46d39ef7edf511224001', 'msg_24d59e7a403040d883c218c58e245c5a', 'msg_6f5edb22ec144267b1abba7c81802de6']",claude-sonnet-5,['claude-sonnet-5'],sgagent-official-django__django-13321-0-be6be78676,{'end_turn': 8},0,completed,False,6,188644,8,55763,experiments/name_to_definition/runs/official_locator_full14_reproduction/django__django-13321/0/trajectory.jsonl,102144.59
True,True,,0,True,True,['django.db.backends.base.creation.BaseDatabaseCreation'],['django/db/backends/base/creation.py'],['django.db.backends.base.creation.BaseDatabaseCreation.create_test_db'],"[(58, 71), (76, 84)]",45127,django__django-13448,0.08695652173913043,False,7,1840,1.0,1.0,['django.db.backends.base.creation.BaseDatabaseCreation'],['django/db/backends/base/creation.py'],['django.db.backends.base.creation.BaseDatabaseCreation.create_test_db'],"[(77, 78)]","[{'end_line': 78, 'file_path': 'django/db/backends/base/creation.py', 'start_line': 77}]",1,django/django,"['msg_40fa1d30c6d140658a97ced8015ac242', 'msg_2b98483b61e24ab8857c1be8d89a8f49', 'msg_e751ab4d75134b04b584f7c2ba77edcf', 'msg_bb71a6103ac84e2b9950ccb7b4c881c0', 'msg_f59d9c6edf664442b1a8407827a51669', 'msg_d17b44a947c94228b6c582a185fe0485', 'msg_c9f20559593644e590811daa95267a74']",claude-sonnet-5,['claude-sonnet-5'],sgagent-official-django__django-13448-0-1a157d7a87,{'end_turn': 7},0,completed,False,5,75101,7,46967,experiments/name_to_definition/runs/official_locator_full14_reproduction/django__django-13448/0/trajectory.jsonl,117239.36
True,True,,0,True,False,['django.db.models.sql.query.Query'],['django/db/models/sql/query.py'],"['django.db.models.sql.query.Query.resolve_lookup_value', 'django.db.models.sql.query.Query.solve_lookup_type']","[(1077, 1090)]",34811,django__django-13590,0.2857142857142857,False,10,1891,1.0,0.5,['django.db.models.sql.query.Query'],['django/db/models/sql/query.py'],['django.db.models.sql.query.Query.resolve_lookup_value'],"[(1080, 1083)]","[{'end_line': 1083, 'file_path': 'django/db/models/sql/query.py', 'start_line': 1080}]",2,django/django,"['msg_48809b5c4f9c4bb68a77122ecb064375', 'msg_070f25a967004ffca2641b4abbf4b86a', 'msg_1f4c9fb2ab5545d49f728db35a1811cf', 'msg_db6e967aae2a4e219f487d8485966871', 'msg_05daab52a9da435a916e36b1e94fcbe7', 'msg_6d03a8bd1139454487b11b9064ed4455', 'msg_d21acebf6e024307af29221bba89a0d7', 'msg_7ffcd1f5dddb471cb644bacb0200d885', 'msg_af7163416b414bfbb36457317cae3af8', 'msg_87ce3fae534e44babd33994dff871174', 'msg_fec6ec804e794215b70fda78ef201043']",claude-sonnet-5,['claude-sonnet-5'],sgagent-official-django__django-13590-0-969fba53a4,{'end_turn': 11},1,completed,False,7,11109,11,36702,experiments/name_to_definition/runs/official_locator_full14_reproduction/django__django-13590/0/trajectory.jsonl,129066.363
