class_match,completed,cost_usd,failed_llm_calls,failed_tool_calls,file_match,function_match,gold_classes,gold_files,gold_functions,gold_line_ranges,http_attempts,input_tokens,instance_id,line_iou,line_match,locator_llm_calls,logical_calls_by_phase,logical_llm_calls,nested_llm_calls,output_tokens,paper_file_jaccard,paper_function_jaccard,predicted_classes,predicted_files,predicted_functions,predicted_line_ranges,predicted_locations,protocol,provider,reflection_turns,repo,request_ids,request_retries,requested_model,returned_models,run_id,stop_reasons,successful_llm_responses,successful_responses_by_phase,summarizer_llm_calls,termination_reason,token_usage_incomplete,tokens_by_phase,tool_calls,tool_original_chars,tool_output_guard,tool_result_bytes,tool_result_chars,tool_returned_bytes,tool_returned_chars,total_llm_calls,total_tokens,trajectory_path,truncated_tool_calls,wall_clock_ms
True,True,,0,0,True,True,['astropy.wcs.wcs.WCS'],['astropy/wcs/wcs.py'],"['astropy.wcs.wcs.WCS._array_converter', 'astropy.wcs.wcs.WCS._return_list_of_arrays', 'astropy.wcs.wcs.WCS._return_single_array']","[(1212, 1220), (1238, 1245)]",4,318859,astropy__astropy-7746,0.3939393939393939,False,4,{'locator': 4},4,0,891,1.0,1.0,['astropy.wcs.wcs.WCS'],['astropy/wcs/wcs.py'],"['astropy.wcs.wcs.WCS._array_converter', 'astropy.wcs.wcs.WCS._return_list_of_arrays', 'astropy.wcs.wcs.WCS._return_single_array']","[(1214, 1231), (1233, 1243)]","[{'end_line': 1231, 'file_path': 'astropy/wcs/wcs.py', 'start_line': 1214}, {'end_line': 1243, 'file_path': 'astropy/wcs/wcs.py', 'start_line': 1233}]",openai_chat_completions,qtapi_openai_chat_completions,1,astropy/astropy,"['525d4fbb-1cf1-4bb7-80ab-1d90990f668d', 'a2f60c7f-2715-40af-8c02-95e6a825fa90', '9353478a-6d49-48cc-967f-7a6d0a56505e', '9914533f-b005-4d66-8966-105dbdad93ca']",0,ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-astropy__astropy-7746-0-4819abb720,{'stop': 4},4,{'locator': 4},0,completed,False,"{'locator': {'input_tokens': 318859, 'output_tokens': 891, 'total_tokens': 319750}}",2,435553,False,435553,435553,435553,435553,4,319750,experiments/name_to_definition/runs/claude35_paired_smoke10/no_n2d/astropy__astropy-7746/0/trajectory.jsonl,0,139852.834
False,True,,0,0,True,False,[],['django/conf/global_settings.py'],[],"[(304, 310)]",13,119822,django__django-10914,0.04,True,12,"{'locator': 12, 'summarizer': 1}",13,0,2742,0.25,0.0,"['tests.file_storage.tests.FileStoragePermissions', 'tests.staticfiles_tests.test_storage.TestStaticFilePermissions', 'tests.test_utils.tests.OverrideSettingsTests']","['django/conf/global_settings.py', 'tests/file_storage/tests.py', 'tests/staticfiles_tests/test_storage.py', 'tests/test_utils/tests.py']","['tests.file_storage.tests.FileStoragePermissions.test_file_upload_default_permissions', 'tests.staticfiles_tests.test_storage.TestStaticFilePermissions.test_collect_static_files_default_permissions', 'tests.test_utils.tests.OverrideSettingsTests.test_override_file_upload_permissions']","[(307, 307), (895, 900), (518, 528), (1102, 1102)]","[{'end_line': 307, 'file_path': 'django/conf/global_settings.py', 'start_line': 307}, {'end_line': 1102, 'file_path': 'tests/test_utils/tests.py', 'start_line': 1102}, {'end_line': 900, 'file_path': 'tests/file_storage/tests.py', 'start_line': 895}, {'end_line': 528, 'file_path': 'tests/staticfiles_tests/test_storage.py', 'start_line': 518}]",openai_chat_completions,qtapi_openai_chat_completions,1,django/django,"['e251f073-1505-4eee-b256-3c857c16c2bc', '95e94edf-a9c7-4213-ad00-aef29e3d909f', '52f02159-e4ce-40d8-ae50-40248c0c88d7', '501a1e08-90d7-4bd1-bbfe-74cd0080bb7c', 'a10571fd-f7ab-4f52-8ed8-a72f0771fc3c', '3f88b2fc-b95d-489b-aebe-5e7faa5c5c43', '7db95d49-5ca5-44e2-b834-815504dcd91d', '3e7d1bd2-7c09-4fa5-80c4-dc5ef61b6b22', 'b430fed1-466f-44a9-be3f-030ce4e7b883', '6bc829dd-14ca-4f7a-8b90-ad1f2fadaca3', '2bdd9f05-b9f4-43a1-9f8f-79bbd78901c1', 'e5d157fb-1301-4d52-8b84-5b4abafbc8c8', 'b9917e19-d0a0-45fb-88d6-704c2739517b']",0,ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-django__django-10914-0-3ad2b38ec9,{'stop': 13},13,"{'locator': 12, 'summarizer': 1}",1,completed,False,"{'locator': {'input_tokens': 100044, 'output_tokens': 2019, 'total_tokens': 102063}, 'summarizer': {'input_tokens': 19778, 'output_tokens': 723, 'total_tokens': 20501}}",10,58493,False,58493,58493,58493,58493,13,122564,experiments/name_to_definition/runs/claude35_paired_smoke10/no_n2d/django__django-10914/0/trajectory.jsonl,0,226620.55
True,True,,0,0,True,False,['django.db.models.sql.compiler.SQLCompiler'],['django/db/models/sql/compiler.py'],"['django.db.models.sql.compiler.SQLCompiler.__init__', 'django.db.models.sql.compiler.SQLCompiler.setup_query']","[(32, 39)]",4,285089,django__django-11001,0.1,True,4,{'locator': 4},4,0,2108,1.0,0.25,['django.db.models.sql.compiler.SQLCompiler'],['django/db/models/sql/compiler.py'],"['django.db.models.sql.compiler.SQLCompiler.__init__', 'django.db.models.sql.compiler.SQLCompiler.get_extra_select', 'django.db.models.sql.compiler.SQLCompiler.get_order_by']","[(35, 35), (356, 356), (369, 369)]","[{'end_line': 35, 'file_path': 'django/db/models/sql/compiler.py', 'start_line': 35}, {'end_line': 356, 'file_path': 'django/db/models/sql/compiler.py', 'start_line': 356}, {'end_line': 369, 'file_path': 'django/db/models/sql/compiler.py', 'start_line': 369}]",openai_chat_completions,qtapi_openai_chat_completions,1,django/django,"['7eff9635-4023-4a65-8231-63f56fefdeed', '9e56c18b-eb68-4c83-91a8-d9888f2adc56', '54738556-3aff-4637-81dd-1310d44086e9', 'b49cfdfc-7b52-4669-843c-225419d171b8']",0,ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-django__django-11001-0-7165383a30,{'stop': 4},4,{'locator': 4},0,completed,False,"{'locator': {'input_tokens': 285089, 'output_tokens': 2108, 'total_tokens': 287197}}",9,286680,False,286716,286680,286716,286680,4,287197,experiments/name_to_definition/runs/claude35_paired_smoke10/no_n2d/django__django-11001/0/trajectory.jsonl,0,122555.39
True,True,,0,0,True,True,[],['django/core/checks/model_checks.py'],['django.core.checks.model_checks.check_all_models'],"[(4, 11), (36, 60)]",15,78245,django__django-11630,0.2777777777777778,False,14,"{'locator': 14, 'summarizer': 1}",15,0,3721,1.0,1.0,[],['django/core/checks/model_checks.py'],['django.core.checks.model_checks.check_all_models'],"[(20, 22), (38, 47)]","[{'end_line': 22, 'file_path': 'django/core/checks/model_checks.py', 'start_line': 20}, {'end_line': 47, 'file_path': 'django/core/checks/model_checks.py', 'start_line': 38}]",openai_chat_completions,qtapi_openai_chat_completions,1,django/django,"['991ffd3a-35b7-49b5-9709-2c3d2fa41175', '1940caf1-147e-4fd8-adc2-6307bf86698b', '72871ca3-9c92-4df4-ace3-827ce9cddd54', '8e026b8a-e4f2-4af1-a3db-9dea96cef7d3', '2683f770-19fb-45f8-adee-bc2c84c0f5bf', 'd3f6a21d-1a3e-4f5e-aca2-6bfdc5f978a1', '7eb8d846-9182-4573-b828-a05467317326', 'd33c38b8-4571-4051-acea-990efa2d9ba3', '22a5a0f1-23db-409a-bb28-627c2608ff48', '2562fc06-da08-43cc-a79c-a1084eb5aa00', '94832b1c-37aa-4572-b655-4228cfa73b01', '35b924c9-196a-4c14-bd06-36801883f070', '0f8ae496-5870-42c4-8962-e9a440d2cf83', '67790c44-5e66-4101-aaeb-24ab597b4c28', 'ec4b0d9a-6824-4ea5-b364-38ee85837c72']",0,ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-django__django-11630-0-e97d57db16,{'stop': 15},15,"{'locator': 14, 'summarizer': 1}",1,completed,False,"{'locator': {'input_tokens': 72596, 'output_tokens': 2958, 'total_tokens': 75554}, 'summarizer': {'input_tokens': 5649, 'output_tokens': 763, 'total_tokens': 6412}}",12,17196,False,17196,17196,17196,17196,15,81966,experiments/name_to_definition/runs/claude35_paired_smoke10/no_n2d/django__django-11630/0/trajectory.jsonl,0,283826.067
True,True,,0,0,True,False,['django.urls.resolvers.RegexPattern'],['django/urls/resolvers.py'],"['django.urls.resolvers.RegexPattern.check', 'django.urls.resolvers.RegexPattern.match']","[(158, 166)]",7,51153,django__django-12184,0.2222222222222222,True,7,{'locator': 7},7,0,1707,1.0,0.5,['django.urls.resolvers.RegexPattern'],['django/urls/resolvers.py'],['django.urls.resolvers.RegexPattern.match'],"[(161, 162)]","[{'end_line': 162, 'file_path': 'django/urls/resolvers.py', 'start_line': 161}]",openai_chat_completions,qtapi_openai_chat_completions,1,django/django,"['5a1a383d-89fb-472f-97ea-7c082bb9ac65', 'cf3eaa34-34de-4330-a36b-aa6a71ea3aad', '542a1082-8fba-4276-9385-f759ae047ce7', '08485dc4-55d2-4442-be3c-76fb353cbee5', '08dc19e3-d99a-44d6-8163-15a5e09ba0e6', '843e31b3-7863-4f78-90e0-6a7efbf41d93', '2d80925f-b4d4-4c3b-b968-ddb48e90d26d']",0,ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-django__django-12184-0-19ea935ba5,{'stop': 7},7,{'locator': 7},0,completed,False,"{'locator': {'input_tokens': 51153, 'output_tokens': 1707, 'total_tokens': 52860}}",5,30380,False,30416,30380,30416,30380,7,52860,experiments/name_to_definition/runs/claude35_paired_smoke10/no_n2d/django__django-12184/0/trajectory.jsonl,0,167333.655
True,True,,0,0,True,False,['django.dispatch.dispatcher.Signal'],['django/dispatch/dispatcher.py'],"['django.dispatch.dispatcher.Signal._clear_dead_receivers', 'django.dispatch.dispatcher.Signal.send_robust', 'django.dispatch.dispatcher._make_id']","[(1, 4), (6, 13), (211, 222)]",12,133050,django__django-13768,0.3,False,10,"{'locator': 10, 'summarizer': 1}",11,0,2355,1.0,0.6666666666666666,['django.dispatch.dispatcher.Signal'],['django/dispatch/dispatcher.py'],"['django.dispatch.dispatcher.Signal.send_robust', 'django.dispatch.dispatcher._make_id']","[(1, 9), (206, 211)]","[{'end_line': 9, 'file_path': 'django/dispatch/dispatcher.py', 'start_line': 1}, {'end_line': 211, 'file_path': 'django/dispatch/dispatcher.py', 'start_line': 206}]",openai_chat_completions,qtapi_openai_chat_completions,1,django/django,"['48a32382-706d-4ac1-9eb4-019ba43b697a', '28e50ad1-6398-44b7-801b-4e41311ea1ef', 'f172d537-82d1-4caf-b9fe-58a694adc849', 'ac338e01-200d-420a-a2d5-d9175e428964', '19818b47-9c61-4a80-8c0c-afc00a591cb9', '5c0f2462-d62c-4280-a827-7bfece7a07b2', '2680b863-b783-4430-a2cc-f64fde9e1bd7', '97fad65e-0ce1-4bec-bdbb-889573f4bd92', '1a7f2b9a-2e6f-4666-a409-cb6d98e99703', 'c1da682a-d898-440b-ad4b-58d411ca7ec0', '9e761db4-d611-405a-977b-7b1c2ca54b5f']",1,ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-django__django-13768-0-287bb45e5d,{'stop': 11},11,"{'locator': 10, 'summarizer': 1}",1,completed,False,"{'locator': {'input_tokens': 115949, 'output_tokens': 1650, 'total_tokens': 117599}, 'summarizer': {'input_tokens': 17101, 'output_tokens': 705, 'total_tokens': 17806}}",8,54199,False,54199,54199,54199,54199,11,135405,experiments/name_to_definition/runs/claude35_paired_smoke10/no_n2d/django__django-13768/0/trajectory.jsonl,0,290593.304
True,True,,0,0,True,False,['django.forms.boundfield.BoundWidget'],['django/forms/boundfield.py'],"['django.forms.boundfield.BoundWidget.choice_label', 'django.forms.boundfield.BoundWidget.id_for_label']","[(277, 283)]",3,19350,django__django-14534,0.42857142857142855,True,3,{'locator': 3},3,0,1080,1.0,0.5,['django.forms.boundfield.BoundWidget'],['django/forms/boundfield.py'],['django.forms.boundfield.BoundWidget.id_for_label'],"[(278, 280)]","[{'end_line': 280, 'file_path': 'django/forms/boundfield.py', 'start_line': 278}]",openai_chat_completions,qtapi_openai_chat_completions,1,django/django,"['da6f16e2-54fb-4c8e-844f-7820a204ae24', 'e2d11a2c-5529-4e45-bb58-0710ddc9b797', 'bf1f3645-75a0-443f-9f56-2450ee411aee']",0,ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-django__django-14534-0-9ec79967c6,{'stop': 3},3,{'locator': 3},0,completed,False,"{'locator': {'input_tokens': 19350, 'output_tokens': 1080, 'total_tokens': 20430}}",5,13591,False,13591,13591,13591,13591,3,20430,experiments/name_to_definition/runs/claude35_paired_smoke10/no_n2d/django__django-14534/0/trajectory.jsonl,0,112136.428
True,True,,0,0,True,False,['django.db.models.sql.query.Query'],['django/db/models/sql/query.py'],"['django.db.models.sql.query.Query.add_deferred_loading', 'django.db.models.sql.query.Query.add_immediate_loading']","[(2086, 2097)]",6,666968,django__django-14667,0.2222222222222222,False,6,{'locator': 6},6,0,1723,1.0,0.3333333333333333,['django.db.models.sql.query.Query'],['django/db/models/sql/query.py'],"['django.db.models.sql.query.Query.add_deferred_loading', 'django.db.models.sql.query.Query.deferred_to_data']","[(2083, 2089), (680, 682)]","[{'end_line': 2089, 'file_path': 'django/db/models/sql/query.py', 'start_line': 2083}, {'end_line': 682, 'file_path': 'django/db/models/sql/query.py', 'start_line': 680}]",openai_chat_completions,qtapi_openai_chat_completions,1,django/django,"['196e12ce-5c5d-4ec7-b871-85426e697357', 'fed20cb1-f7e3-4aa9-a816-40b64692e962', 'bf7879f2-487c-40ad-a5d0-284340e605b4', '7dcc5bf4-b844-46f4-b1df-a590e6812e97', 'f8e73c64-232b-438b-80b4-aecee8667ab6', '1f95eb66-d831-45e2-9314-46524f09b60f']",0,ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-django__django-14667-0-304b0f52e2,{'stop': 6},6,{'locator': 6},0,completed,False,"{'locator': {'input_tokens': 666968, 'output_tokens': 1723, 'total_tokens': 668691}}",4,510395,False,510395,510395,510395,510395,6,668691,experiments/name_to_definition/runs/claude35_paired_smoke10/no_n2d/django__django-14667/0/trajectory.jsonl,0,224372.4
True,True,,0,0,True,True,['django.db.models.sql.query.Query'],['django/db/models/sql/query.py'],['django.db.models.sql.query.Query.deferred_to_data'],"[(748, 754)]",8,40831,django__django-15814,0.5,True,8,{'locator': 8},8,0,1446,1.0,1.0,['django.db.models.sql.query.Query'],['django/db/models/sql/query.py'],['django.db.models.sql.query.Query.deferred_to_data'],"[(747, 751)]","[{'end_line': 751, 'file_path': 'django/db/models/sql/query.py', 'start_line': 747}]",openai_chat_completions,qtapi_openai_chat_completions,1,django/django,"['dd7cceff-55ca-48be-a48a-927e578cb48f', '39693d81-d13f-487a-8afa-6fce527c3c95', '501f6503-41a7-43a6-91d5-58bdbfdfc1fe', 'e58aa83c-be89-436f-9f4b-bf0a3791ba95', '09484f49-d251-47ff-9f25-02bb9e33319a', 'ad1c450a-bb0c-477a-90ad-c0dd8ee90833', '60b66928-f8cc-42ab-b45c-6b1b225a8564', '63b78b96-c8e9-4515-97aa-89b48a7fa6c3']",0,ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-django__django-15814-0-944de681d7,{'stop': 8},8,{'locator': 8},0,completed,False,"{'locator': {'input_tokens': 40831, 'output_tokens': 1446, 'total_tokens': 42277}}",6,8849,False,8849,8849,8849,8849,8,42277,experiments/name_to_definition/runs/claude35_paired_smoke10/no_n2d/django__django-15814/0/trajectory.jsonl,0,230937.246
True,True,,0,0,True,True,['sympy.matrices.common.MatrixShaping'],['sympy/matrices/common.py'],"['sympy.matrices.common.MatrixShaping._eval_col_insert', 'sympy.matrices.common.MatrixShaping.entry']","[(86, 92)]",8,36237,sympy__sympy-13647,0.5833333333333334,True,8,{'locator': 8},8,0,1369,1.0,1.0,['sympy.matrices.common.MatrixShaping'],['sympy/matrices/common.py'],"['sympy.matrices.common.MatrixShaping._eval_col_insert', 'sympy.matrices.common.MatrixShaping.entry']","[(81, 92)]","[{'end_line': 92, 'file_path': 'sympy/matrices/common.py', 'start_line': 81}]",openai_chat_completions,qtapi_openai_chat_completions,1,sympy/sympy,"['b5b40f1c-d4e4-4e24-a32f-3600b318bb15', 'b27ee002-b3af-4fab-98c6-225d1acd3e04', '035e3942-2f71-4312-8cbf-95fbffabe432', 'da0ac64d-b9bf-4e8d-8a42-68b8bd8b33e4', '49b09dda-7762-4404-b147-a63962e69176', '217fea8c-cbaf-4322-8d7a-a400ce4bba3b', '4ff3dccb-850b-4f34-829c-317b78a5869a', '40058189-d38c-4dbe-9298-b9c0feb5cb46']",0,ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-sympy__sympy-13647-0-74d62a5d33,{'stop': 8},8,{'locator': 8},0,completed,False,"{'locator': {'input_tokens': 36237, 'output_tokens': 1369, 'total_tokens': 37606}}",6,6441,False,6441,6441,6441,6441,8,37606,experiments/name_to_definition/runs/claude35_paired_smoke10/no_n2d/sympy__sympy-13647/0/trajectory.jsonl,0,334333.198
