class_match,completed,cost_usd,failed_tool_calls,file_match,function_match,gold_classes,gold_files,gold_functions,gold_line_ranges,input_tokens,instance_id,line_iou,line_match,locator_llm_calls,output_tokens,paper_file_jaccard,paper_function_jaccard,predicted_classes,predicted_files,predicted_functions,predicted_line_ranges,predicted_locations,reflection_turns,repo,run_id,summarizer_llm_calls,termination_reason,token_usage_incomplete,tool_calls,tool_result_chars,total_llm_calls,total_tokens,trajectory_path,wall_clock_ms
True,True,,0,True,True,['astropy.wcs.wcs.WCS'],['astropy/wcs/wcs.py'],"['astropy.wcs.wcs.WCS._array_converter', 'astropy.wcs.wcs.WCS._return_list_of_arrays', 'astropy.wcs.wcs.WCS._return_single_array']","[(1212, 1220), (1238, 1245)]",42147,astropy__astropy-7746,0.13636363636363635,False,10,5381,1.0,1.0,['astropy.wcs.wcs.WCS'],['astropy/wcs/wcs.py'],"['astropy.wcs.wcs.WCS._array_converter', 'astropy.wcs.wcs.WCS._return_list_of_arrays', 'astropy.wcs.wcs.WCS._return_single_array']","[(1221, 1225), (1238, 1240)]","[{'end_line': 1225, 'file_path': 'astropy/wcs/wcs.py', 'start_line': 1221}, {'end_line': 1240, 'file_path': 'astropy/wcs/wcs.py', 'start_line': 1238}]",1,astropy/astropy,sgagent-official-astropy__astropy-7746-0-e978320cb0,1,completed,False,8,11962,11,47528,experiments/name_to_definition/runs/official_locator_reproduction/astropy__astropy-7746/0/trajectory.jsonl,145103.89
True,True,,0,True,True,[],['django/conf/global_settings.py'],[],"[(304, 310)]",29829,django__django-10914,0.14285714285714285,True,9,3565,1.0,1.0,[],['django/conf/global_settings.py'],[],"[(307, 307)]","[{'end_line': 307, 'file_path': 'django/conf/global_settings.py', 'start_line': 307}]",1,django/django,sgagent-official-django__django-10914-0-b6240669f6,1,completed,False,7,7263,10,33394,experiments/name_to_definition/runs/official_locator_reproduction/django__django-10914/0/trajectory.jsonl,129837.623
True,True,,0,True,False,['django.db.models.sql.compiler.SQLCompiler'],['django/db/models/sql/compiler.py'],"['django.db.models.sql.compiler.SQLCompiler.__init__', 'django.db.models.sql.compiler.SQLCompiler.setup_query']","[(32, 39)]",56328,django__django-11001,0.0,False,15,6929,1.0,0.0,['django.db.models.sql.compiler.SQLCompiler'],['django/db/models/sql/compiler.py'],"['django.db.models.sql.compiler.SQLCompiler.get_extra_select', 'django.db.models.sql.compiler.SQLCompiler.get_order_by']","[(356, 356), (369, 369)]","[{'end_line': 356, 'file_path': 'django/db/models/sql/compiler.py', 'start_line': 356}, {'end_line': 369, 'file_path': 'django/db/models/sql/compiler.py', 'start_line': 369}]",2,django/django,sgagent-official-django__django-11001-0-c7cb8f0d7b,1,completed,False,12,12122,16,63257,experiments/name_to_definition/runs/official_locator_reproduction/django__django-11001/0/trajectory.jsonl,186493.006
True,True,,0,True,True,[],['django/core/checks/model_checks.py'],['django.core.checks.model_checks.check_all_models'],"[(4, 11), (36, 60)]",44660,django__django-11630,0.2777777777777778,False,13,5204,1.0,1.0,[],['django/core/checks/model_checks.py'],['django.core.checks.model_checks.check_all_models'],"[(38, 47), (20, 22)]","[{'end_line': 47, 'file_path': 'django/core/checks/model_checks.py', 'start_line': 38}, {'end_line': 22, 'file_path': 'django/core/checks/model_checks.py', 'start_line': 20}]",2,django/django,sgagent-official-django__django-11630-0-2b54dd9abc,1,completed,False,10,16943,14,49864,experiments/name_to_definition/runs/official_locator_reproduction/django__django-11630/0/trajectory.jsonl,161768.131
True,True,,0,True,False,['django.urls.resolvers.RegexPattern'],['django/urls/resolvers.py'],"['django.urls.resolvers.RegexPattern.check', 'django.urls.resolvers.RegexPattern.match']","[(158, 166)]",36588,django__django-12184,0.2222222222222222,True,11,5460,1.0,0.5,['django.urls.resolvers.RegexPattern'],['django/urls/resolvers.py'],['django.urls.resolvers.RegexPattern.match'],"[(161, 162)]","[{'end_line': 162, 'file_path': 'django/urls/resolvers.py', 'start_line': 161}]",1,django/django,sgagent-official-django__django-12184-0-05804f8289,1,completed,False,9,4379,12,42048,experiments/name_to_definition/runs/official_locator_reproduction/django__django-12184/0/trajectory.jsonl,169972.972
True,True,,0,True,True,[],['django/core/checks/translation.py'],['django.core.checks.translation.check_language_settings_consistent'],"[(1, 5), (56, 64)]",40547,django__django-12286,0.14285714285714285,False,12,5074,1.0,1.0,[],['django/core/checks/translation.py'],['django.core.checks.translation.check_language_settings_consistent'],"[(59, 60)]","[{'end_line': 60, 'file_path': 'django/core/checks/translation.py', 'start_line': 59}]",2,django/django,sgagent-official-django__django-12286-0-6e28e8e0db,1,completed,False,9,8567,13,45621,experiments/name_to_definition/runs/official_locator_reproduction/django__django-12286/0/trajectory.jsonl,164601.569
True,True,,0,True,False,[],['django/forms/models.py'],"['django.forms.models.apply_limit_choices_to_to_formfield', 'django.forms.models.fields_for_model']","[(97, 114)]",104265,django__django-13315,0.3333333333333333,False,23,7141,1.0,0.5,[],['django/forms/models.py'],['django.forms.models.apply_limit_choices_to_to_formfield'],"[(98, 103)]","[{'end_line': 103, 'file_path': 'django/forms/models.py', 'start_line': 98}]",3,django/django,sgagent-official-django__django-13315-0-5c054bb704,3,completed,False,19,46225,26,111406,experiments/name_to_definition/runs/official_locator_reproduction/django__django-13315/0/trajectory.jsonl,245638.879
True,True,,0,True,False,['django.contrib.sessions.backends.base.SessionBase'],['django/contrib/sessions/backends/base.py'],"['django.contrib.sessions.backends.base.SessionBase._legacy_decode', 'django.contrib.sessions.backends.base.SessionBase._legacy_encode', 'django.contrib.sessions.backends.base.SessionBase.decode']","[(121, 135)]",21456,django__django-13321,0.1,False,7,1211,1.0,0.3333333333333333,['django.contrib.sessions.backends.base.SessionBase'],['django/contrib/sessions/backends/base.py'],['django.contrib.sessions.backends.base.SessionBase._legacy_decode'],"[(133, 150)]","[{'end_line': 150, 'file_path': 'django/contrib/sessions/backends/base.py', 'start_line': 133}]",1,django/django,sgagent-official-django__django-13321-0-ee62d5f5f7,0,completed,False,5,4284,7,22667,experiments/name_to_definition/runs/official_locator_reproduction/django__django-13321/0/trajectory.jsonl,92643.57
True,True,,0,True,True,['django.db.backends.base.creation.BaseDatabaseCreation'],['django/db/backends/base/creation.py'],['django.db.backends.base.creation.BaseDatabaseCreation.create_test_db'],"[(58, 71), (76, 84)]",27851,django__django-13448,0.08695652173913043,False,8,2924,1.0,1.0,['django.db.backends.base.creation.BaseDatabaseCreation'],['django/db/backends/base/creation.py'],['django.db.backends.base.creation.BaseDatabaseCreation.create_test_db'],"[(77, 78)]","[{'end_line': 78, 'file_path': 'django/db/backends/base/creation.py', 'start_line': 77}]",1,django/django,sgagent-official-django__django-13448-0-f332ca6632,0,completed,False,6,7349,8,30775,experiments/name_to_definition/runs/official_locator_reproduction/django__django-13448/0/trajectory.jsonl,118156.632
True,True,,0,True,False,['django.db.models.sql.query.Query'],['django/db/models/sql/query.py'],"['django.db.models.sql.query.Query.resolve_lookup_value', 'django.db.models.sql.query.Query.solve_lookup_type']","[(1077, 1090)]",31296,django__django-13590,0.2857142857142857,False,10,3281,1.0,0.5,['django.db.models.sql.query.Query'],['django/db/models/sql/query.py'],['django.db.models.sql.query.Query.resolve_lookup_value'],"[(1080, 1083)]","[{'end_line': 1083, 'file_path': 'django/db/models/sql/query.py', 'start_line': 1080}]",2,django/django,sgagent-official-django__django-13590-0-8c9a708641,1,completed,False,7,3416,11,34577,experiments/name_to_definition/runs/official_locator_reproduction/django__django-13590/0/trajectory.jsonl,132922.234
True,True,,0,True,False,['django.contrib.admin.options.InlineModelAdmin'],['django/contrib/admin/options.py'],"['django.contrib.admin.options.InlineModelAdmin.__init__', 'django.contrib.admin.options.InlineModelAdmin.media']","[(2037, 2049)]",42408,django__django-13710,0.3076923076923077,False,12,5077,1.0,0.5,['django.contrib.admin.options.InlineModelAdmin'],['django/contrib/admin/options.py'],['django.contrib.admin.options.InlineModelAdmin.__init__'],"[(2040, 2043)]","[{'end_line': 2043, 'file_path': 'django/contrib/admin/options.py', 'start_line': 2040}]",1,django/django,sgagent-official-django__django-13710-0-05d61c8be8,1,completed,False,10,12267,13,47485,experiments/name_to_definition/runs/official_locator_reproduction/django__django-13710/0/trajectory.jsonl,163094.134
True,True,,0,True,False,['django.dispatch.dispatcher.Signal'],['django/dispatch/dispatcher.py'],"['django.dispatch.dispatcher.Signal._clear_dead_receivers', 'django.dispatch.dispatcher.Signal.send_robust', 'django.dispatch.dispatcher._make_id']","[(1, 4), (6, 13), (211, 222)]",30426,django__django-13768,0.23076923076923078,False,10,3031,1.0,0.3333333333333333,['django.dispatch.dispatcher.Signal'],['django/dispatch/dispatcher.py'],['django.dispatch.dispatcher.Signal.send_robust'],"[(1, 6), (210, 211)]","[{'end_line': 6, 'file_path': 'django/dispatch/dispatcher.py', 'start_line': 1}, {'end_line': 211, 'file_path': 'django/dispatch/dispatcher.py', 'start_line': 210}]",1,django/django,sgagent-official-django__django-13768-0-51fc5a9ae5,1,completed,False,8,9937,11,33457,experiments/name_to_definition/runs/official_locator_reproduction/django__django-13768/0/trajectory.jsonl,132543.655
False,True,,0,False,False,['django.db.models.base.Model'],['django/db/models/base.py'],['django.db.models.base.Model._prepare_related_fields_for_save'],"[(933, 939)]",37054,django__django-13964,0.0,False,10,4405,0.0,0.0,['django.db.models.fields.related_descriptors.ForwardManyToOneDescriptor'],['django/db/models/fields/related_descriptors.py'],['django.db.models.fields.related_descriptors.ForwardManyToOneDescriptor.__set__'],"[(254, 257)]","[{'end_line': 257, 'file_path': 'django/db/models/fields/related_descriptors.py', 'start_line': 254}]",1,django/django,sgagent-official-django__django-13964-0-a74c2a8a5f,1,completed,False,8,13995,11,41459,experiments/name_to_definition/runs/official_locator_reproduction/django__django-13964/0/trajectory.jsonl,172559.766
True,True,,0,True,False,['django.db.models.query_utils.Q'],['django/db/models/query_utils.py'],"['django.db.models.query_utils.Q.__init__', 'django.db.models.query_utils.Q._combine']","[(40, 46)]",95149,django__django-14017,0.2222222222222222,True,21,10751,1.0,0.3333333333333333,['django.db.models.query_utils.Q'],['django/db/models/query_utils.py'],"['django.db.models.query_utils.Q.__and__', 'django.db.models.query_utils.Q._combine']","[(43, 44), (64, 65)]","[{'end_line': 44, 'file_path': 'django/db/models/query_utils.py', 'start_line': 43}, {'end_line': 65, 'file_path': 'django/db/models/query_utils.py', 'start_line': 64}]",2,django/django,sgagent-official-django__django-14017-0-ba6ffbb62a,2,completed,False,18,18058,23,105900,experiments/name_to_definition/runs/official_locator_reproduction/django__django-14017/0/trajectory.jsonl,337236.481
True,True,,0,True,False,['django.forms.boundfield.BoundWidget'],['django/forms/boundfield.py'],"['django.forms.boundfield.BoundWidget.choice_label', 'django.forms.boundfield.BoundWidget.id_for_label']","[(277, 283)]",38059,django__django-14534,0.2857142857142857,True,11,3557,1.0,0.5,['django.forms.boundfield.BoundWidget'],['django/forms/boundfield.py'],['django.forms.boundfield.BoundWidget.id_for_label'],"[(279, 280)]","[{'end_line': 280, 'file_path': 'django/forms/boundfield.py', 'start_line': 279}]",2,django/django,sgagent-official-django__django-14534-0-020ec8843e,1,completed,False,8,5023,12,41616,experiments/name_to_definition/runs/official_locator_reproduction/django__django-14534/0/trajectory.jsonl,167917.442
True,True,,0,True,False,['django.db.models.sql.query.Query'],['django/db/models/sql/query.py'],"['django.db.models.sql.query.Query.add_deferred_loading', 'django.db.models.sql.query.Query.add_immediate_loading']","[(2086, 2097)]",71299,django__django-14667,0.0,False,18,7326,1.0,0.0,['django.db.models.sql.query.Query'],['django/db/models/sql/query.py'],['django.db.models.sql.query.Query.deferred_to_data'],"[(680, 682)]","[{'end_line': 682, 'file_path': 'django/db/models/sql/query.py', 'start_line': 680}]",2,django/django,sgagent-official-django__django-14667-0-fe522afdef,2,completed,False,15,17790,20,78625,experiments/name_to_definition/runs/official_locator_reproduction/django__django-14667/0/trajectory.jsonl,262563.64
True,True,,0,True,False,['django.db.models.fields.related.ManyToManyField'],['django/db/models/fields/related.py'],"['django.db.models.fields.related.ManyToManyField._check_ignored_options', 'django.db.models.fields.related.ManyToManyField._check_relationship_model']","[(1258, 1273)]",33388,django__django-14730,0.0,False,11,3411,1.0,0.0,['django.db.models.fields.related.ManyToManyField'],['django/db/models/fields/related.py'],['django.db.models.fields.related.ManyToManyField.__init__'],"[(1180, 1187)]","[{'end_line': 1187, 'file_path': 'django/db/models/fields/related.py', 'start_line': 1180}]",1,django/django,sgagent-official-django__django-14730-0-a96303dfc7,1,completed,False,9,6978,12,36799,experiments/name_to_definition/runs/official_locator_reproduction/django__django-14730/0/trajectory.jsonl,148689.872
True,True,,0,True,False,['django.contrib.admin.helpers.AdminReadonlyField'],['django/contrib/admin/helpers.py'],"['django.contrib.admin.helpers.AdminReadonlyField.contents', 'django.contrib.admin.helpers.AdminReadonlyField.get_admin_url']","[(209, 219)]",31271,django__django-14855,0.09090909090909091,False,10,2348,1.0,0.5,['django.contrib.admin.helpers.AdminReadonlyField'],['django/contrib/admin/helpers.py'],['django.contrib.admin.helpers.AdminReadonlyField.get_admin_url'],"[(212, 212)]","[{'end_line': 212, 'file_path': 'django/contrib/admin/helpers.py', 'start_line': 212}]",1,django/django,sgagent-official-django__django-14855-0-c0c79bbc63,1,completed,False,8,6759,11,33619,experiments/name_to_definition/runs/official_locator_reproduction/django__django-14855/0/trajectory.jsonl,126028.731
True,True,,0,True,True,['django.forms.models.ModelChoiceIteratorValue'],['django/forms/models.py'],"['django.forms.models.ModelChoiceIteratorValue.__eq__', 'django.forms.models.ModelChoiceIteratorValue.__str__']","[(1166, 1174)]",9792,django__django-14915,0.5714285714285714,True,5,1626,1.0,0.6666666666666666,['django.forms.models.ModelChoiceIteratorValue'],['django/forms/models.py'],"['django.forms.models.ModelChoiceIteratorValue.__eq__', 'django.forms.models.ModelChoiceIteratorValue.__init__', 'django.forms.models.ModelChoiceIteratorValue.__str__']","[(1161, 1173)]","[{'end_line': 1173, 'file_path': 'django/forms/models.py', 'start_line': 1161}]",1,django/django,sgagent-official-django__django-14915-0-c89d0c5b98,0,completed,False,3,1493,5,11418,experiments/name_to_definition/runs/official_locator_reproduction/django__django-14915/0/trajectory.jsonl,94600.865
