class_match,completed,cost_usd,failed_llm_calls,failed_tool_calls,file_match,function_match,gold_classes,gold_files,gold_functions,gold_line_ranges,http_attempts,input_tokens,instance_id,line_iou,line_match,locator_llm_calls,logical_calls_by_phase,logical_llm_calls,nested_llm_calls,output_tokens,paper_file_jaccard,paper_function_jaccard,predicted_classes,predicted_files,predicted_functions,predicted_line_ranges,predicted_locations,protocol,provider,reflection_turns,repo,request_ids,request_retries,requested_model,returned_models,run_id,stop_reasons,successful_llm_responses,successful_responses_by_phase,summarizer_llm_calls,termination_reason,token_usage_incomplete,tokens_by_phase,tool_calls,tool_original_chars,tool_output_guard,tool_result_bytes,tool_result_chars,tool_returned_bytes,tool_returned_chars,total_llm_calls,total_tokens,trajectory_path,truncated_tool_calls,wall_clock_ms
True,True,,0,0,True,True,['astropy.wcs.wcs.WCS'],['astropy/wcs/wcs.py'],"['astropy.wcs.wcs.WCS._array_converter', 'astropy.wcs.wcs.WCS._return_list_of_arrays', 'astropy.wcs.wcs.WCS._return_single_array']","[(1212, 1220), (1238, 1245)]",4,319550,astropy__astropy-7746,0.3939393939393939,False,4,{'locator': 4},4,0,960,1.0,1.0,['astropy.wcs.wcs.WCS'],['astropy/wcs/wcs.py'],"['astropy.wcs.wcs.WCS._array_converter', 'astropy.wcs.wcs.WCS._return_list_of_arrays', 'astropy.wcs.wcs.WCS._return_single_array']","[(1214, 1231), (1233, 1243)]","[{'end_line': 1231, 'file_path': 'astropy/wcs/wcs.py', 'start_line': 1214}, {'end_line': 1243, 'file_path': 'astropy/wcs/wcs.py', 'start_line': 1233}]",openai_chat_completions,qtapi_openai_chat_completions,1,astropy/astropy,"['ccddb176-c4b1-446c-bbb2-66b024e07c56', 'ad2ebcee-d308-40f1-880b-9fc508c3e1d7', 'db4b8948-0fc2-4c98-9da6-459274288afd', '222c19f4-131d-4713-96ba-86b74c03ebb9']",0,ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-astropy__astropy-7746-0-4bf89f212e,{'stop': 4},4,{'locator': 4},0,completed,False,"{'locator': {'input_tokens': 319550, 'output_tokens': 960, 'total_tokens': 320510}}",2,435553,False,435553,435553,435553,435553,4,320510,experiments/name_to_definition/runs/claude35_paired_smoke10/full14/astropy__astropy-7746/0/trajectory.jsonl,0,329331.433
False,True,,0,0,True,False,[],['django/conf/global_settings.py'],[],"[(304, 310)]",16,119716,django__django-10914,0.04,True,14,"{'locator': 14, 'summarizer': 1}",15,0,2960,0.25,0.0,"['tests.file_storage.tests.FileStoragePermissions', 'tests.staticfiles_tests.test_storage.TestStaticFilePermissions', 'tests.test_utils.tests.OverrideSettingsTests']","['django/conf/global_settings.py', 'tests/file_storage/tests.py', 'tests/staticfiles_tests/test_storage.py', 'tests/test_utils/tests.py']","['tests.file_storage.tests.FileStoragePermissions.test_file_upload_default_permissions', 'tests.staticfiles_tests.test_storage.TestStaticFilePermissions.test_collect_static_files_default_permissions', 'tests.test_utils.tests.OverrideSettingsTests.test_override_file_upload_permissions']","[(307, 307), (895, 900), (518, 528), (1102, 1102)]","[{'end_line': 307, 'file_path': 'django/conf/global_settings.py', 'start_line': 307}, {'end_line': 1102, 'file_path': 'tests/test_utils/tests.py', 'start_line': 1102}, {'end_line': 900, 'file_path': 'tests/file_storage/tests.py', 'start_line': 895}, {'end_line': 528, 'file_path': 'tests/staticfiles_tests/test_storage.py', 'start_line': 518}]",openai_chat_completions,qtapi_openai_chat_completions,1,django/django,"['3543860c-34b6-4592-9263-7df1f2c21451', 'b8440a1b-1547-425d-92ab-2a71738f177b', 'c4d814cc-44bd-4afa-a326-bd4f99b3abee', 'b1ff2363-c6b7-42ee-bc02-067061fe6f50', 'de480aa5-228d-474f-9f03-62c0029d3d38', '162c79e6-8f91-403f-b071-a0ed1e7157c9', '85895480-9560-4957-b36f-f019ed483bcc', '70695c5d-c384-4667-bceb-11a40621cc2e', '445da684-2729-4f3e-a29e-dbfa13e11c6c', '4255ec24-f6cd-4d9d-8dac-a41b84939f9f', 'a095101e-bba0-49d0-aef9-91e555ff97a3', '9c2964bf-a179-4e8a-b94f-e4ca9ca13dc7', '1c19f978-1a54-450b-883e-307d447691e1', '0996eb8a-e822-4c58-b516-1fbc3c5bfc41', 'ee6ddbcb-21e0-4694-8c24-2aca5de0c3c8']",1,ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-django__django-10914-0-701609b84d,{'stop': 15},15,"{'locator': 14, 'summarizer': 1}",1,completed,False,"{'locator': {'input_tokens': 100401, 'output_tokens': 2195, 'total_tokens': 102596}, 'summarizer': {'input_tokens': 19315, 'output_tokens': 765, 'total_tokens': 20080}}",12,60941,False,60941,60941,60941,60941,15,122676,experiments/name_to_definition/runs/claude35_paired_smoke10/full14/django__django-10914/0/trajectory.jsonl,0,521514.808
True,True,,0,0,True,False,['django.db.models.sql.compiler.SQLCompiler'],['django/db/models/sql/compiler.py'],"['django.db.models.sql.compiler.SQLCompiler.__init__', 'django.db.models.sql.compiler.SQLCompiler.setup_query']","[(32, 39)]",6,29124,django__django-11001,0.125,True,6,{'locator': 6},6,0,1111,1.0,0.5,['django.db.models.sql.compiler.SQLCompiler'],['django/db/models/sql/compiler.py'],['django.db.models.sql.compiler.SQLCompiler.__init__'],"[(35, 35)]","[{'end_line': 35, 'file_path': 'django/db/models/sql/compiler.py', 'start_line': 35}]",openai_chat_completions,qtapi_openai_chat_completions,1,django/django,"['a894162e-4be4-44cc-aeb4-e1c7db47bd24', '42b826f0-9b56-4f19-a384-9cb9037afb12', 'f95cba0f-f51c-43d7-876b-6577751680eb', 'a648b895-2ff1-4d33-a98e-98d199a80af0', '3e5d7df6-c498-4e5a-b2bc-1832b5977c00', '0ffd1709-87e5-4d06-95f5-e077e3b1ce23']",0,ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-django__django-11001-0-b1a39d0843,{'stop': 6},6,{'locator': 6},0,completed,False,"{'locator': {'input_tokens': 29124, 'output_tokens': 1111, 'total_tokens': 30235}}",4,7562,False,7598,7562,7598,7562,6,30235,experiments/name_to_definition/runs/claude35_paired_smoke10/full14/django__django-11001/0/trajectory.jsonl,0,127330.149
True,True,,0,0,True,True,[],['django/core/checks/model_checks.py'],['django.core.checks.model_checks.check_all_models'],"[(4, 11), (36, 60)]",12,62192,django__django-11630,0.29411764705882354,False,11,"{'locator': 11, 'summarizer': 1}",12,0,2972,1.0,1.0,[],['django/core/checks/model_checks.py'],['django.core.checks.model_checks.check_all_models'],"[(22, 22), (38, 47)]","[{'end_line': 22, 'file_path': 'django/core/checks/model_checks.py', 'start_line': 22}, {'end_line': 47, 'file_path': 'django/core/checks/model_checks.py', 'start_line': 38}]",openai_chat_completions,qtapi_openai_chat_completions,1,django/django,"['c194a6db-4671-4a34-a65a-8178f8ff36cf', '064c4851-180a-477c-860a-9dd582d33ba1', 'c9987c68-5118-440a-a78b-d10d27f0be7e', 'b46558b5-5622-4f25-a968-9f48f6e0e7e8', '7af5d5b1-549c-4a79-a5cc-e7f35e4d3770', '831c3553-6af4-4eb3-8359-98ee3d2c55c6', 'd07fc8d9-f6f7-425b-8bbd-bc480c34b512', 'edb85ff3-035a-4cf6-852b-1a7709c15ebb', '1eac8006-b2fc-4f3d-bdb8-a874c087e149', '37da8edd-e700-4538-ba29-38ed916b4ebb', '8690a3a1-8eba-4d42-8caa-68ad0c618d67', '95c33e16-fa6e-43c0-8431-898abe236c8c']",0,ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-django__django-11630-0-8db5996023,{'stop': 12},12,"{'locator': 11, 'summarizer': 1}",1,completed,False,"{'locator': {'input_tokens': 55150, 'output_tokens': 2231, 'total_tokens': 57381}, 'summarizer': {'input_tokens': 7042, 'output_tokens': 741, 'total_tokens': 7783}}",9,16944,False,16980,16944,16980,16944,12,65164,experiments/name_to_definition/runs/claude35_paired_smoke10/full14/django__django-11630/0/trajectory.jsonl,0,191504.845
True,True,,0,0,True,False,['django.urls.resolvers.RegexPattern'],['django/urls/resolvers.py'],"['django.urls.resolvers.RegexPattern.check', 'django.urls.resolvers.RegexPattern.match']","[(158, 166)]",10,81814,django__django-12184,0.1111111111111111,True,9,"{'locator': 9, 'summarizer': 1}",10,0,2672,1.0,0.5,['django.urls.resolvers.RegexPattern'],['django/urls/resolvers.py'],['django.urls.resolvers.RegexPattern.match'],"[(162, 162)]","[{'end_line': 162, 'file_path': 'django/urls/resolvers.py', 'start_line': 162}]",openai_chat_completions,qtapi_openai_chat_completions,1,django/django,"['dcdceccf-228f-486a-b826-847d35a206b2', '123ca833-2d74-42d6-8fb6-5336503c9afa', 'e4d9d2e4-f456-4f6f-b781-72a84f096360', 'fbcf4e24-6ae5-41e4-9bcc-484ede6d35ad', '5774640d-80a7-4227-959e-22c16b278760', '897539ca-5441-44bb-8946-f10560a6b606', '7b284032-9a17-48e1-8aa8-a64672d6aec2', '10e79f30-0faa-4b81-a0be-64e8cb412712', 'ee730755-32f4-4cf2-9f34-0befb1b23f83', '97ea53e0-0792-4fcd-a302-174033166766']",0,ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-django__django-12184-0-abbcc1ebb8,{'stop': 10},10,"{'locator': 9, 'summarizer': 1}",1,completed,False,"{'locator': {'input_tokens': 68466, 'output_tokens': 2090, 'total_tokens': 70556}, 'summarizer': {'input_tokens': 13348, 'output_tokens': 582, 'total_tokens': 13930}}",7,28576,False,28648,28576,28648,28576,10,84486,experiments/name_to_definition/runs/claude35_paired_smoke10/full14/django__django-12184/0/trajectory.jsonl,0,172690.051
True,True,,0,0,True,False,['django.dispatch.dispatcher.Signal'],['django/dispatch/dispatcher.py'],"['django.dispatch.dispatcher.Signal._clear_dead_receivers', 'django.dispatch.dispatcher.Signal.send_robust', 'django.dispatch.dispatcher._make_id']","[(1, 4), (6, 13), (211, 222)]",15,130539,django__django-13768,0.23076923076923078,False,14,"{'locator': 14, 'summarizer': 1}",15,0,2414,1.0,0.3333333333333333,['django.dispatch.dispatcher.Signal'],['django/dispatch/dispatcher.py'],['django.dispatch.dispatcher.Signal.send_robust'],"[(1, 6), (210, 211)]","[{'end_line': 6, 'file_path': 'django/dispatch/dispatcher.py', 'start_line': 1}, {'end_line': 211, 'file_path': 'django/dispatch/dispatcher.py', 'start_line': 210}]",openai_chat_completions,qtapi_openai_chat_completions,1,django/django,"['bf1abd29-1362-4be0-b9d4-7f0e37db3811', 'adf6d6f8-9834-40f5-b516-40eb8838f077', 'dd526c2a-10c8-47fd-8885-c35ab9b2b17f', '4c95a45d-250e-428a-a308-c1a13fb4f3eb', '32675b22-e929-426b-9f06-dc55b77c5e23', '3f7fca26-8092-4cc0-a077-7c2acdcd4105', 'bba0564d-21e6-42f2-bd2e-6e63c128e9e1', '775e676a-3dd1-4a18-b986-eb3d93313b9d', '54d7ca0c-4610-4c63-9561-f7f202647a97', '66c8b599-3a21-4575-bc11-15e3b10bd2d7', '2b9f1f52-59ce-4975-8ce9-2718a4e6e4cb', '5482f7e9-0fe3-4623-b1c3-0f5de321839a', 'fc4d9386-f6bd-4a39-9772-25b4d47e4a54', 'e41a48ac-8066-455f-9e82-dbbbd103f226', '682fa56e-f28b-44ae-acb2-193e2a0387bc']",0,ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-django__django-13768-0-9c1131f51b,{'stop': 15},15,"{'locator': 14, 'summarizer': 1}",1,completed,False,"{'locator': {'input_tokens': 110385, 'output_tokens': 1777, 'total_tokens': 112162}, 'summarizer': {'input_tokens': 20154, 'output_tokens': 637, 'total_tokens': 20791}}",12,66576,False,66648,66576,66648,66576,15,132953,experiments/name_to_definition/runs/claude35_paired_smoke10/full14/django__django-13768/0/trajectory.jsonl,0,235047.799
True,True,,0,0,True,False,['django.forms.boundfield.BoundWidget'],['django/forms/boundfield.py'],"['django.forms.boundfield.BoundWidget.choice_label', 'django.forms.boundfield.BoundWidget.id_for_label']","[(277, 283)]",3,24260,django__django-14534,0.42857142857142855,True,3,{'locator': 3},3,0,1285,1.0,0.5,['django.forms.boundfield.BoundWidget'],['django/forms/boundfield.py'],['django.forms.boundfield.BoundWidget.id_for_label'],"[(278, 280)]","[{'end_line': 280, 'file_path': 'django/forms/boundfield.py', 'start_line': 278}]",openai_chat_completions,qtapi_openai_chat_completions,1,django/django,"['87acb372-61d8-4777-843a-a9a93d7a4e88', '3c618b6c-f314-4b82-8596-822bfda4c76a', '47b9b7f1-2bab-412a-a621-0897dffa55a7']",0,ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-django__django-14534-0-d1b54bef4c,{'stop': 3},3,{'locator': 3},0,completed,False,"{'locator': {'input_tokens': 24260, 'output_tokens': 1285, 'total_tokens': 25545}}",5,18761,False,18797,18761,18797,18761,3,25545,experiments/name_to_definition/runs/claude35_paired_smoke10/full14/django__django-14534/0/trajectory.jsonl,0,103285.665
True,True,,0,0,True,False,['django.db.models.sql.query.Query'],['django/db/models/sql/query.py'],"['django.db.models.sql.query.Query.add_deferred_loading', 'django.db.models.sql.query.Query.add_immediate_loading']","[(2086, 2097)]",7,55869,django__django-14667,0.26666666666666666,False,7,{'locator': 7},7,0,2922,1.0,0.5,['django.db.models.sql.query.Query'],['django/db/models/sql/query.py'],['django.db.models.sql.query.Query.add_deferred_loading'],"[(2083, 2089)]","[{'end_line': 2089, 'file_path': 'django/db/models/sql/query.py', 'start_line': 2083}]",openai_chat_completions,qtapi_openai_chat_completions,1,django/django,"['8609aecd-4676-44e6-83cb-2b203072cde5', '5045135b-a5e8-4dda-889b-26988183fa0e', '89742e9b-bcc5-4da1-8344-2c459ac27f0e', '195abd5a-8daf-4780-9151-0d2a80626f5e', '4dcc89b0-b0d6-48d3-b7a0-d57bad771489', 'b83a1481-1171-4b21-ac79-3a1060caf02b', '24d1b060-fe99-4fa5-adb6-a1ed8717440e']",0,ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-django__django-14667-0-47ddebecda,{'stop': 7},7,{'locator': 7},0,completed,False,"{'locator': {'input_tokens': 55869, 'output_tokens': 2922, 'total_tokens': 58791}}",5,16486,False,16594,16486,16594,16486,7,58791,experiments/name_to_definition/runs/claude35_paired_smoke10/full14/django__django-14667/0/trajectory.jsonl,0,176155.842
True,True,,0,0,True,True,['django.db.models.sql.query.Query'],['django/db/models/sql/query.py'],['django.db.models.sql.query.Query.deferred_to_data'],"[(748, 754)]",6,30386,django__django-15814,0.5,True,6,{'locator': 6},6,0,2303,1.0,1.0,['django.db.models.sql.query.Query'],['django/db/models/sql/query.py'],['django.db.models.sql.query.Query.deferred_to_data'],"[(747, 751)]","[{'end_line': 751, 'file_path': 'django/db/models/sql/query.py', 'start_line': 747}]",openai_chat_completions,qtapi_openai_chat_completions,1,django/django,"['7f91b39c-2e25-4fe3-ba24-432674543ce7', 'a05e4c48-1563-4d05-aa02-358697291162', 'b1737702-6a44-4201-8c4a-0939e36ac109', '3ae05222-e9b9-4fb1-b6b7-52573b6177ca', '7326bac3-4616-426b-96db-2de6ce9be79b', '4c064753-5cfe-4f75-bb5c-67279b63d17d']",0,ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-django__django-15814-0-d8cf1a72a5,{'stop': 6},6,{'locator': 6},0,completed,False,"{'locator': {'input_tokens': 30386, 'output_tokens': 2303, 'total_tokens': 32689}}",4,6530,False,6530,6530,6530,6530,6,32689,experiments/name_to_definition/runs/claude35_paired_smoke10/full14/django__django-15814/0/trajectory.jsonl,0,170496.356
True,True,,0,0,True,True,['sympy.matrices.common.MatrixShaping'],['sympy/matrices/common.py'],"['sympy.matrices.common.MatrixShaping._eval_col_insert', 'sympy.matrices.common.MatrixShaping.entry']","[(86, 92)]",4,19260,sympy__sympy-13647,0.14285714285714285,True,4,{'locator': 4},4,0,871,1.0,1.0,['sympy.matrices.common.MatrixShaping'],['sympy/matrices/common.py'],"['sympy.matrices.common.MatrixShaping._eval_col_insert', 'sympy.matrices.common.MatrixShaping.entry']","[(89, 89)]","[{'end_line': 89, 'file_path': 'sympy/matrices/common.py', 'start_line': 89}]",openai_chat_completions,qtapi_openai_chat_completions,1,sympy/sympy,"['36858c30-ed41-4743-a92e-c5f639165415', '86b4e481-6d7b-4f3f-94dd-34218692090f', '78b72a37-e6cb-407f-8dc5-2f4b006dee41', 'a2518499-a0e0-494e-bc54-5bf691f3a8ed']",0,ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-sympy__sympy-13647-0-e4c244f192,{'stop': 4},4,{'locator': 4},0,completed,False,"{'locator': {'input_tokens': 19260, 'output_tokens': 871, 'total_tokens': 20131}}",2,5610,False,5646,5610,5646,5610,4,20131,experiments/name_to_definition/runs/claude35_paired_smoke10/full14/sympy__sympy-13647/0/trajectory.jsonl,0,211183.155
